step,episodes,epsilon,train/ep_reward,train/ep_len,exploration/unique_obs,exploration/frontier_rate,loss/q,loss/b,recent_policy,eval_masked/mean_reward,eval_masked/success,eval_q/mean_reward,eval_q/success
65423,274,0.9378,0.0000,250,17,0.0000,0.000055,1.950211,cov(0.10),,,,
65673,275,0.9376,0.0000,250,20,0.0000,0.000138,1.923916,eps,,,,
65923,276,0.9374,0.0000,250,24,0.0000,0.000037,1.951991,eps,,,,
66173,277,0.9371,0.0000,250,25,0.0000,0.000048,1.982039,eps,,,,
66423,278,0.9369,0.0000,250,34,0.0000,0.000066,1.932825,eps,,,,
66673,279,0.9367,0.0000,250,18,0.0000,0.000090,1.966343,eps,,,,
66923,280,0.9364,0.0000,250,13,0.0000,0.012645,1.939184,eps,,,,
67173,281,0.9362,0.0000,250,21,0.0000,0.013420,1.946118,eps,,,,
67423,282,0.9359,0.0000,250,12,0.0000,0.000091,1.934567,eps,,,,
67570,283,0.9358,0.4708,147,28,0.0068,0.000088,1.950510,eps,,,,
67603,284,0.9358,0.8812,33,13,0.0000,0.000081,1.939307,eps,,,,
67853,285,0.9355,0.0000,250,32,0.0000,0.012227,1.944668,eps,,,,
68103,286,0.9353,0.0000,250,30,0.0000,0.000126,1.923378,eps,,,,
68353,287,0.9351,0.0000,250,20,0.0000,0.000063,1.972869,eps,,,,
68603,288,0.9348,0.0000,250,11,0.0000,0.000132,1.919986,eps,,,,
68747,289,0.9347,0.4816,144,26,0.0000,0.000055,1.934285,eps,,,,
68997,290,0.9345,0.0000,250,24,0.0000,0.000041,1.934229,eps,,,,
69149,291,0.9343,0.4528,152,29,0.0000,0.000085,1.947411,eps,,,,
69399,292,0.9341,0.0000,250,10,0.0000,0.000259,1.949185,eps,,,,
69637,293,0.9338,0.1432,238,28,0.0000,0.000058,1.925700,eps,,,,
69844,294,0.9336,0.2548,207,18,0.0000,0.000046,1.944811,eps,,,,
70094,295,0.9334,0.0000,250,24,0.0040,0.000156,1.934481,eps,,,,
70344,296,0.9332,0.0000,250,12,0.0000,0.000211,1.953172,eps,,,,
70594,297,0.9329,0.0000,250,13,0.0000,0.012910,1.938313,eps,,,,
70844,298,0.9327,0.0000,250,20,0.0000,0.000030,1.936624,cov(0.10),,,,
71094,299,0.9325,0.0000,250,19,0.0000,0.000042,1.937401,cov(0.10),,,,
71344,300,0.9322,0.0000,250,37,0.0000,0.000014,1.961269,eps,,,,
71594,301,0.9320,0.0000,250,21,0.0000,0.027167,1.931674,eps,,,,
71799,302,0.9318,0.2620,205,33,0.0000,0.000058,1.963023,eps,,,,
72049,303,0.9316,0.0000,250,25,0.0000,0.000116,1.931753,eps,,,,
72222,304,0.9314,0.3772,173,21,0.0000,0.026564,1.932728,eps,,,,
72472,305,0.9312,0.0000,250,20,0.0000,0.000186,1.936560,eps,,,,
72722,306,0.9309,0.0000,250,20,0.0000,0.000273,1.927343,eps,,,,
72972,307,0.9307,0.0000,250,25,0.0000,0.000063,1.919114,cov(0.10),,,,
73222,308,0.9304,0.0000,250,29,0.0000,0.000136,1.949467,eps,,,,
73472,309,0.9302,0.0000,250,27,0.0000,0.000105,1.955642,eps,,,,
73722,310,0.9300,0.0000,250,9,0.0000,0.000141,1.948709,eps,,,,
73972,311,0.9297,0.0000,250,23,0.0000,0.000110,1.970300,eps,,,,
74222,312,0.9295,0.0000,250,14,0.0000,0.000168,1.932940,eps,,,,
74472,313,0.9293,0.0000,250,30,0.0000,0.000071,1.952713,eps,,,,
74722,314,0.9290,0.0000,250,15,0.0000,0.000153,1.964102,eps,,,,
74972,315,0.9288,0.0000,250,16,0.0000,0.000058,1.934205,eps,,,,
75222,316,0.9285,0.0000,250,23,0.0000,0.000091,1.947600,eps,,,,
75472,317,0.9283,0.0000,250,23,0.0000,0.000200,1.926163,eps,,,,
75722,318,0.9281,0.0000,250,18,0.0000,0.000285,1.928347,eps,,,,
75972,319,0.9278,0.0000,250,37,0.0000,0.000185,1.917337,eps,,,,
76222,320,0.9276,0.0000,250,29,0.0000,0.000110,1.923195,eps,,,,
76472,321,0.9274,0.0000,250,30,0.0000,0.000067,1.945490,eps,,,,
76722,322,0.9271,0.0000,250,17,0.0000,0.000129,1.923991,eps,,,,
76972,323,0.9269,0.0000,250,18,0.0000,0.000089,1.939580,eps,,,,
77222,324,0.9266,0.0000,250,25,0.0000,0.017529,1.937356,eps,,,,
77472,325,0.9264,0.0000,250,26,0.0000,0.000062,1.917471,eps,,,,
77722,326,0.9262,0.0000,250,19,0.0000,0.000105,1.950056,eps,,,,
77972,327,0.9259,0.0000,250,22,0.0000,0.000231,1.938983,eps,,,,
